"Rank","Symbol","log2FoldChange_median","padj_best","probe_selected","n_probes","ProbeIDs"
1,"KISS1R",-1.93538258061851,1.30654392427095e-199,"213048_s_at",1,"213048_s_at"
2,"CAB39L",1.0251531142131,4.53331337641905e-121,"215505_s_at",3,"215505_s_at;230085_at;220104_at"
3,"JAK2",1.15244521012385,2.98871866654655e-120,"219112_at",2,"219112_at;238327_at"
4,"C3orf85",1.17185516937173,5.57631838313408e-117,"1554047_at",1,"1554047_at"
5,"HLA-DQA1",0.02649553195272,1.0577612035469e-111,"223674_s_at",2,"223674_s_at;205719_s_at"
6,"CES1",1.97028786308924,1.9010908050941e-107,"202072_at",1,"202072_at"
7,"ANP32E",1.4112082401073,7.64882550950481e-104,"1555247_a_at",2,"1555247_a_at;206513_at"
8,"HCAR3",1.76437729603853,4.92134113976181e-100,"35201_at",1,"35201_at"
9,"ETV5",1.15959339537564,3.5534091550829e-98,"219921_s_at",1,"219921_s_at"
10,"OSR2",1.04697465528161,5.1427564109235e-98,"222110_at",1,"222110_at"
11,"SESTD1",1.07363047426706,3.12495639338397e-95,"243259_at",1,"243259_at"
12,"STRN3",-2.08633311202132,1.31062249416527e-94,"230958_s_at",1,"230958_s_at"
13,"GBP1",-1.039218330736,5.32046428824207e-90,"213788_s_at",3,"213788_s_at;203932_at;208744_x_at"
14,"CTNNB1",1.69731942108682,9.51495558069421e-90,"238353_at",1,"238353_at"
15,"CEL",-2.13290298197338,8.42395344784532e-80,"228834_at",2,"228834_at;206552_s_at"
16,"CXCL5",1.47196356843527,4.38737291624465e-79,"242594_at",1,"242594_at"
17,"CALHM6",-0.14300809709469,1.77411710145998e-73,"226400_at",2,"226400_at;217143_s_at"
18,"KLK10",-1.48891777959418,3.25584414767674e-67,"230689_at",1,"230689_at"
19,"RNF43",-1.20885173216153,7.5764172543858e-65,"222244_s_at",1,"222244_s_at"
20,"CRIPTO3",1.78346378207408,4.12401391575894e-64,"219403_s_at",1,"219403_s_at"
21,"MALAT1",1.28471048901167,4.18975774465073e-64,"222881_at",1,"222881_at"
22,"ANPEP",-1.48715410781284,4.69539969435211e-62,"235589_s_at",1,"235589_s_at"
23,"MIR224",-1.03873105132805,1.08573320757439e-61,"212229_s_at",1,"212229_s_at"
24,"RNF24",-1.09437176367574,3.80447606952719e-61,"211769_x_at",1,"211769_x_at"
25,"TFAP2A",-1.87734093105375,1.10089598761357e-60,"230291_s_at",1,"230291_s_at"
26,"RUBCNL",-1.7493258866881,1.51254462347549e-60,"244187_at",2,"244187_at;1552348_at"
27,"CD55",-1.02582042281002,3.63590797684349e-59,"221473_x_at",3,"221473_x_at;217544_at;214043_at"
28,"SRSF6",2.40700125909245,5.23784259256428e-56,"206108_s_at",1,"206108_s_at"
29,"CHAC2",-1.02552103636832,3.41456380521682e-55,"228443_s_at",1,"228443_s_at"
30,"MICB",1.25465550902341,2.60934563930815e-54,"220553_s_at",1,"220553_s_at"
31,"REG1A",1.17370650581433,3.52572742275792e-52,"225187_at",1,"225187_at"
32,"MUC1",1.16720024219244,6.05636840134705e-52,"31874_at",1,"31874_at"
33,"CLEC5A",1.09098428215278,9.58846187987809e-52,"241813_at",1,"241813_at"
34,"COL9A3",-1.62428516458216,7.6463667364706e-51,"227556_at",1,"227556_at"
35,"QPRT",-1.72690809864668,2.20677907018488e-50,"242277_at",2,"242277_at;218807_at"
36,"FABP6",1.0859889198883,4.21505268111276e-50,"208156_x_at",1,"208156_x_at"
37,"HLA-DMB",1.07880970949278,4.21505268111276e-50,"213038_at",1,"213038_at"
38,"TMPRSS3",-1.45792802875068,4.34096935846223e-49,"226085_at",2,"226085_at;206755_at"
39,"SERPINB2",1.56884202852865,9.26335696920663e-49,"235059_at",1,"235059_at"
40,"APCDD1",1.20420331447494,1.86847268756617e-48,"205841_at",1,"205841_at"
41,"PRPF38B",1.0677541468489,2.79763424160114e-47,"219624_at",1,"219624_at"
42,"LINC01003",-1.11996893516824,8.44061697929385e-47,"214718_at",1,"214718_at"
43,"RPL22L1",1.38543499587664,1.29684501123673e-46,"227014_at",1,"227014_at"
44,"A1CF",-1.46684923170413,3.31600049893215e-45,"229835_s_at",1,"229835_s_at"
45,"GBP4",-1.57300811912154,3.32238851288299e-45,"222787_s_at",1,"222787_s_at"
46,"RBM6",1.81217192654052,3.8131299618783e-45,"37145_at",1,"37145_at"
