probe_id,log2FoldChange,AveExpr,t,P.Value,padj,B
213048_s_at,2.108054862912692,8.532223833790258,25.77785551458161,4.26287174944587e-96,4.566814505181361e-92,208.48585049748354
202072_at,-1.8544923386372405,4.795617720229772,-25.396311365634432,3.529169356138402e-94,1.890399565615535e-90,203.98152001540586
219403_s_at,-1.742432560604145,3.1180167118463675,-23.372436632868066,5.701485769639923e-84,2.0360005683384164e-80,180.10495197538262
206108_s_at,-2.552373386084245,4.072341260315476,-22.286379372065674,1.7456538630944995e-78,4.675297458832843e-75,168.00101388421945
35201_at,-1.6618762103386817,5.6674047611749,-22.10138116568401,1.4989930500360235e-77,3.211742509007184e-74,166.00163896571593
214257_s_at,1.3152332176204018,6.377602005357492,19.769851418355096,7.77099942920641e-66,1.3875119480848046e-62,139.1516486374576
220553_s_at,-1.1653379842615477,3.7766263250589676,-19.722450709473684,1.339685137665535e-65,2.0502924114015536e-62,138.45678999565317
31874_at,-1.1110561936027616,3.917885531989496,-19.45890485849275,2.7568174811262286e-64,3.691723209413161e-61,135.49663272503915
226880_at,1.453436512819805,7.503520085717258,19.443664314187384,3.2830001846294946e-64,3.907864553103975e-61,135.44592358365833
226400_at,1.5954728736300627,7.506577269532512,19.220552638592604,4.2234409826593194e-63,4.524572324722929e-60,132.9056044048824
208103_s_at,-1.2835539810263685,3.7817042983898532,-18.711256753363443,1.4094664394884577e-60,1.372692178749077e-57,127.02820416967195
222244_s_at,1.4243607596978956,6.96698112848395,18.639563134245265,3.185517510080354e-60,2.843870757124236e-57,126.31697295675637
1554411_at,-1.6967682836688314,3.6214213441996828,-17.83887669122497,2.736844360629895e-56,2.255370279648313e-53,117.2519303057996
227014_at,-1.2638715643705851,3.211503225258913,-17.191305768681225,3.8640931338252854e-53,2.9568592673335915e-50,109.87949101989003
209207_s_at,-0.7980796618987359,4.7171737856128875,-16.807907891588464,2.731068574521693e-51,1.9505291759233932e-48,105.87924001818229
224754_at,0.7817593577381462,6.04263531797629,16.79830136252624,3.037443644237837e-51,2.0337583600449965e-48,105.77268348369792
213038_at,-1.0241029406741373,4.750411200091295,-16.78323906731775,3.5883249356887556e-51,2.2612779432960962e-48,105.60823972566148
36564_at,-1.1314408137929224,4.727548400831658,-16.71336927034412,7.769572939775147e-51,4.624190827989508e-48,104.84112836510718
212229_s_at,1.1243390796466628,5.640749780583117,16.619886420297004,2.180756907332918e-50,1.229602565697766e-47,103.80538003826925
211769_x_at,1.1296185013471705,6.528136248253141,16.567235837741162,3.8966851627216417e-50,2.0872594074118474e-47,103.23627423954441
221473_x_at,1.0930007086918552,6.426323507845672,16.383394720528432,2.943738950981963e-49,1.5017273991366556e-46,101.22815186299755
213619_at,1.0604053584947069,8.703402032101945,16.35879359368923,3.85634605484999e-49,1.8778652402549064e-46,100.89285430927634
204020_at,1.1149357206355082,5.792984965513893,16.324716667277713,5.6043988547616375e-49,2.610431518741801e-46,100.59274584115097
213094_at,-1.8984407630612512,2.805568616544868,-16.046739156628846,1.1712228305220265e-47,5.2280459097426957e-45,97.44166530239735
231769_at,-1.2300889349891206,3.9365395680010846,-15.641170344841868,9.558791399303907e-46,4.0961332904297104e-43,93.20399650707691
1554696_s_at,-1.1155240032632279,4.487656761771586,-15.560151859104138,2.291790241458841e-45,9.443057252595601e-43,92.34063633769775
226661_at,-1.1051941301887656,4.023515774107017,-15.554272623886781,2.441772114526218e-45,9.688409134414583e-43,92.27595306606005
206858_s_at,-2.48099586330148,2.554938386567439,-15.335824647502731,2.5575914608039417e-44,9.785527614140223e-42,89.88798042895178
209811_at,-1.381015762157501,2.6427252576095976,-15.299306917107193,3.7829197565206623e-44,1.397462736262271e-41,89.27052500550033
202520_s_at,1.3026872176041202,5.05594450228486,15.237470407575012,7.3337861012703745e-44,2.618895016763651e-41,88.79590295286543
201986_at,0.9945504051071581,5.915485585530706,15.155232552757987,1.7659487652685587e-43,6.102777136232926e-41,88.0258735118683
202375_at,-0.9803632938012269,3.771211305554117,-15.005478443509718,8.706726909386302e-43,2.914848918132983e-40,86.43369322620154
204653_at,-1.7953363934360127,2.100193673415038,-15.00017133793338,9.212110438880546e-43,2.990586034294766e-40,86.02574818594158
202397_at,-1.1804388972839661,6.12632084904905,-14.962794489476888,1.370371198892159e-42,4.317878427568147e-40,85.94697917992843
213470_s_at,-1.227188155004904,3.4250085467303757,-14.909538087482401,2.411536156336751e-42,7.381367669381605e-40,85.39988775078623
203590_at,1.1899956453590537,5.964762101150769,14.811915782615076,6.781093397606308e-42,2.0179403769043438e-39,84.409931207543
217790_s_at,-1.0710994500359605,4.071484231237361,-14.764849677409225,1.1151720897592423e-41,3.143904894102832e-39,83.92559782681796
215780_s_at,-1.202677087771181,6.599367663621765,-14.769708418968246,1.0593819223061974e-41,3.067340144234133e-39,83.88982909806795
225541_at,-1.487154303141114,6.454488909531971,-14.752686934352157,1.2680160594345675e-41,3.483142575569877e-39,83.7065147049446
219123_at,-0.8449187967033256,4.091824729228018,-14.732371394446085,1.5712912602910154e-41,4.208310817874412e-39,83.58494016151498
204630_s_at,0.9477164950875928,5.859132942738179,14.683547392195063,2.6294189796487815e-41,6.760810282108855e-39,83.06154353182853
208050_s_at,-1.1118383277937045,3.293068035533346,-14.68278761761921,2.6505556972703434e-41,6.760810282108855e-39,82.9848184181706
37145_at,-1.4367829275501498,2.4540331685509966,-14.608975900744236,5.764715132642575e-41,1.4362184468837189e-38,82.01380967640804
230263_s_at,-1.005551754743138,4.283570758749427,-14.573155506505929,8.399943430201113e-41,2.0451953174487392e-38,81.92150230076092
212274_at,-0.90126846900606294,4.364193742779038,-14.56094640144582,9.549146137278975e-41,2.2733333904148813e-38,81.7932671135237
228834_at,2.595666225538986,6.096166601609919,14.531394391016299,1.302191023921896e-40,3.032689660712016e-38,81.40299815579824
202589_at,-1.1117197322459995,6.337169873648477,-14.519823993383653,1.4702304273613172e-40,3.3511869294301684e-38,81.2937884050774
201533_at,-0.8687426652650679,7.5285156666863005,-14.445135179920948,3.215192437736368e-40,7.175907621972857e-38,80.43671298333241
218392_x_at,-0.7603466034087859,4.491009343733826,-14.388718463997218,5.7994998994977924e-40,1.2679600494555072e-37,80.0020143913012
228222_at,1.4851250226852206,7.75526000970282,14.356172329953655,8.146688784591798e-40,1.7455095389866386e-37,79.6122636420551
202478_at,-1.2786887555978506,3.952309533592387,-14.31324236521262,1.274783606692557e-39,2.677795446764189e-37,79.2304431188028
222437_s_at,0.6999937390106833,7.295314462537296,14.30473038127313,1.3930346045619202e-39,2.8699191766676636e-37,79.07681893857044
213753_x_at,-1.1895397298440755,5.535233959624791,-14.274937352606704,1.8998803385683937e-39,3.8402675598270185e-37,78.78281559972326
227641_at,-1.3805338205888598,3.481437945075584,-14.232570667841319,2.952239031079685e-39,5.856914211103087e-37,78.38907801214039
202419_at,-0.6679680204561549,4.63395450576215,-14.205780422724533,3.90002448682998e-39,7.59653860498356e-37,78.10722924165809
228443_s_at,1.1465352356735354,5.313098619622404,14.172802090455287,5.492537875261858e-39,1.0507421117442908e-36,77.77929367415504
225925_s_at,-0.6817888036559593,4.785464732425739,-14.148846070496957,7.042038742190424e-39,1.3235326499137897e-36,77.51348676926293
204858_s_at,-1.0079013049599619,4.198673957123269,-14.10057135637021,1.1612710330610105e-38,2.1128999776624475e-36,77.03848803382502
201737_s_at,1.1376442087634184,5.997824209161744,14.100374258056522,1.1636432248864409e-38,2.1128999776624475e-36,77.01802920566597
200967_at,-0.7491889139716537,8.60624710983711,-14.096377961134987,1.2127966258520643e-38,2.1654483754588612e-36,76.67938116753379
212341_at,0.7915130400657843,6.337968172806948,14.01507956523927,2.810735139847007e-38,4.9362959923247516e-36,76.12112014611525
202725_at,-0.6510943691899315,4.3244262720408,-13.985973548223598,3.795533719537983e-38,6.55831495764684e-36,75.86711903047707
209678_s_at,1.1170434487803664,6.035160154694167,13.939562143395815,6.123944032458037e-38,1.0413621019003642e-35,75.36774737927888
201122_x_at,-1.362210538308246,5.756657687258768,-13.93183904523407,6.630899834304871e-38,1.1099504675766889e-35,75.24160327760345
203349_s_at,-1.0345668935578511,3.5754121380268358,-13.782191077428708,3.0839898310158064e-37,5.082889701488051e-35,73.78397723038951
211758_x_at,0.9467385385550099,5.671293243727909,13.733656880611504,5.068589636074364e-37,8.227242541100705e-35,73.28630036658146
218802_at,-0.9073384625820441,3.834988832498748,-13.70631794052556,6.703059600564056e-37,1.0717892164304885e-34,73.02786286507244
200629_at,-1.1684101627753316,6.4237918059591035,-13.693840390060744,7.61440326444153e-37,1.199604443705325e-34,72.79029698085048
212952_at,0.8890275128096433,6.735680958862476,13.641322636749354,1.3013506069359845e-36,2.020488268421044e-34,72.30713703300665
226603_at,-1.2972706885199154,3.479344515131898,-13.630106175840282,1.4589837411756853e-36,2.2328704027450166e-34,72.25438601117574
205495_s_at,-1.3087027697259737,2.3602667876928387,-13.617671953755279,1.6560556387835826e-36,2.498778036378665e-34,71.88140011126667
210968_s_at,0.6525618546879867,7.814731147880924,13.584305085974892,2.326016141668479e-36,3.460918184124224e-34,71.67666490593508
201818_at,-0.8745976635847944,4.474195851422539,-13.543503760509633,3.5219824955701366e-36,5.168629928088065e-34,71.36312644671547
227473_at,0.9884128730356362,6.3519730934631635,13.525224928264027,4.2405283304567666e-36,6.13902432488964e-34,71.14609676265984
201313_at,-1.2888125630711897,3.10310772682939,-13.511838313682592,4.8577875546388995e-36,6.938863743046204e-34,71.0211640747687
218237_s_at,1.1234223693167482,6.698166551368391,13.494847712636592,5.7717234086844106e-36,8.135851694373171e-34,70.83359520071703
238542_at,-1.4539041062787796,2.460406662409763,-13.462241747233135,8.032518064505217e-36,1.1175631951304467e-33,70.39965821188227
222867_s_at,-0.6879639765229807,4.474147398731018,-13.393437378107562,1.61140311038285e-35,2.185185002725503e-33,69.86118504044616
227556_at,1.919160918773312,8.203855728914682,13.396410314637208,1.5637079489219147e-35,2.1476927252308296e-33,69.81188455957027
203431_s_at,-1.0450725087628143,4.58437066030867,-13.265728474393212,5.839622661496516e-35,7.62925336251368e-33,68.56990078282637
213655_at,0.9937350938192535,7.889417685906777,13.2688645163639,5.658290076001975e-35,7.572374852178452e-33,68.51775330799168
201123_s_at,-1.941249377714641,6.656498076674387,-13.267692327932952,5.725402436539295e-35,7.572374852178452e-33,68.42593716910586
213716_s_at,-1.1956949465650812,4.179877522640888,-13.215529723745579,9.670633224574574e-35,1.240231047751623e-32,68.09148662937254
201883_s_at,-0.6736188512547181,4.569710458229261,-13.214975610596241,9.724578363776378e-35,1.240231047751623e-32,68.07377841660606
